#WV	FL
-2.234	-3.1460E-03
-2.233	-3.1403E-03
-2.232	-3.1344E-03
-2.231	-3.1280E-03
-2.23	-3.1214E-03
-2.229	-3.1143E-03
-2.228	-3.1070E-03
-2.227	-3.0992E-03
-2.226	-3.0912E-03
-2.225	-3.0828E-03
-2.224	-3.0740E-03
-2.223	-3.0649E-03
-2.222	-3.0554E-03
-2.221	-3.0457E-03
-2.22	-3.0355E-03
-2.219	-3.0251E-03
-2.218	-3.0142E-03
-2.217	-3.0031E-03
-2.216	-2.9916E-03
-2.215	-2.9798E-03
-2.214	-2.9676E-03
-2.213	-2.9551E-03
-2.212	-2.9423E-03
-2.211	-2.9291E-03
-2.21	-2.9157E-03
-2.209	-2.9018E-03
-2.208	-2.8877E-03
-2.207	-2.8732E-03
-2.206	-2.8584E-03
-2.205	-2.8433E-03
-2.204	-2.8278E-03
-2.203	-2.8121E-03
-2.202	-2.7960E-03
-2.201	-2.7796E-03
-2.2	-2.7628E-03
-2.199	-2.7458E-03
-2.198	-2.7285E-03
-2.197	-2.7108E-03
-2.196	-2.6928E-03
-2.195	-2.6746E-03
-2.194	-2.6560E-03
-2.193	-2.6371E-03
-2.192	-2.6179E-03
-2.191	-2.5984E-03
-2.19	-2.5786E-03
-2.189	-2.5585E-03
-2.188	-2.5382E-03
-2.187	-2.5175E-03
-2.186	-2.4965E-03
-2.185	-2.4753E-03
-2.184	-2.4538E-03
-2.183	-2.4320E-03
-2.182	-2.4099E-03
-2.181	-2.3875E-03
-2.18	-2.3648E-03
-2.179	-2.3419E-03
-2.178	-2.3187E-03
-2.177	-2.2953E-03
-2.176	-2.2715E-03
-2.175	-2.2475E-03
-2.174	-2.2233E-03
-2.173	-2.1988E-03
-2.172	-2.1740E-03
-2.171	-2.1490E-03
-2.17	-2.1237E-03
-2.169	-2.0982E-03
-2.168	-2.0724E-03
-2.167	-2.0464E-03
-2.166	-2.0201E-03
-2.165	-1.9936E-03
-2.164	-1.9669E-03
-2.163	-1.9399E-03
-2.162	-1.9128E-03
-2.161	-1.8853E-03
-2.16	-1.8577E-03
-2.159	-1.8298E-03
-2.158	-1.8018E-03
-2.157	-1.7735E-03
-2.156	-1.7450E-03
-2.155	-1.7162E-03
-2.154	-1.6873E-03
-2.153	-1.6582E-03
-2.152	-1.6289E-03
-2.151	-1.5994E-03
-2.15	-1.5697E-03
-2.149	-1.5398E-03
-2.148	-1.5097E-03
-2.147	-1.4794E-03
-2.146	-1.4489E-03
-2.145	-1.4183E-03
-2.144	-1.3875E-03
-2.143	-1.3565E-03
-2.142	-1.3254E-03
-2.141	-1.2941E-03
-2.14	-1.2626E-03
-2.139	-1.2310E-03
-2.138	-1.1992E-03
-2.137	-1.1673E-03
-2.136	-1.1352E-03
-2.135	-1.1030E-03
-2.134	-1.0707E-03
-2.133	-1.0382E-03
-2.132	-1.0056E-03
-2.131	-9.7280E-04
-2.13	-9.3993E-04
-2.129	-9.0693E-04
-2.128	-8.7381E-04
-2.127	-8.4057E-04
-2.126	-8.0723E-04
-2.125	-7.7378E-04
-2.124	-7.4022E-04
-2.123	-7.0656E-04
-2.122	-6.7281E-04
-2.121	-6.3896E-04
-2.12	-6.0503E-04
-2.119	-5.7100E-04
-2.118	-5.3690E-04
-2.117	-5.0272E-04
-2.116	-4.6846E-04
-2.115	-4.3413E-04
-2.114	-3.9974E-04
-2.113	-3.6528E-04
-2.112	-3.3077E-04
-2.111	-2.9619E-04
-2.11	-2.6157E-04
-2.109	-2.2690E-04
-2.108	-1.9218E-04
-2.107	-1.5742E-04
-2.106	-1.2263E-04
-2.105	-8.7810E-05
-2.104	-5.2950E-05
-2.103	-1.8070E-05
-2.102	1.6830E-05
-2.101	5.1750E-05
-2.1	8.6680E-05
-2.099	1.2162E-04
-2.098	1.5657E-04
-2.097	1.9152E-04
-2.096	2.2646E-04
-2.095	2.6140E-04
-2.094	2.9634E-04
-2.093	3.3125E-04
-2.092	3.6615E-04
-2.091	4.0103E-04
-2.09	4.3589E-04
-2.089	4.7071E-04
-2.088	5.0550E-04
-2.087	5.4026E-04
-2.086	5.7497E-04
-2.085	6.0964E-04
-2.084	6.4426E-04
-2.083	6.7883E-04
-2.082	7.1334E-04
-2.081	7.4780E-04
-2.08	7.8218E-04
-2.079	8.1651E-04
-2.078	8.5075E-04
-2.077	8.8493E-04
-2.076	9.1902E-04
-2.075	9.5303E-04
-2.074	9.8696E-04
-2.073	1.0208E-03
-2.072	1.0545E-03
-2.071	1.0882E-03
-2.07	1.1217E-03
-2.069	1.1552E-03
-2.068	1.1885E-03
-2.067	1.2217E-03
-2.066	1.2548E-03
-2.065	1.2878E-03
-2.064	1.3206E-03
-2.063	1.3533E-03
